img1_path,img2_path,label
/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_day/voc_day/JPEGImages/Badger_0.jpg,/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_night/voc_night/JPEGImages/LeopardCat__1980.jpg,0
/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_day/voc_day/JPEGImages/RacoonDog_102.jpg,/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_night/voc_night/JPEGImages/RacoonDog_178.jpg,1
/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_day/voc_day/JPEGImages/SikaDeer_2402.jpg,/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_night/voc_night/JPEGImages/LeopardCat__2653.jpg,0
/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_day/voc_day/JPEGImages/AmurLeopard_257.jpg,/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_night/voc_night/JPEGImages/AmurLeopard_572.jpg,1
/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_day/voc_day/JPEGImages/Hare_48.jpg,/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_night/voc_night/JPEGImages/Dog_166.jpg,0
/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_day/voc_day/JPEGImages/Wildboar_2027.jpg,/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_night/voc_night/JPEGImages/Cow_67 (1).jpg,0
/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_day/voc_day/JPEGImages/Badger__645.jpg,/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_night/voc_night/JPEGImages/Badger__1931.jpg,1
/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_day/voc_day/JPEGImages/RedFox_2 (371).jpg,/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_night/voc_night/JPEGImages/Weasel_1217.jpg,0
/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_day/voc_day/JPEGImages/Dog_1015.jpg,/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_night/voc_night/JPEGImages/Dog_856.jpg,1
/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_day/voc_day/JPEGImages/Y.T.Marten_316.jpg,/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_night/voc_night/JPEGImages/Weasel_1079.jpg,0
/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_day/voc_day/JPEGImages/Y.T.Marten__244.jpg,/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_night/voc_night/JPEGImages/Y.T.Marten_248.jpg,1
/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_day/voc_day/JPEGImages/Wildboar_1754.jpg,/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_night/voc_night/JPEGImages/Cow_89 (1).jpg,0
/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_day/voc_day/JPEGImages/Hare_49.jpg,/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_night/voc_night/JPEGImages/Hare_586.jpg,1
/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_day/voc_day/JPEGImages/leopard_2308.jpg,/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_night/voc_night/JPEGImages/leopard_2272.jpg,1
/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_day/voc_day/JPEGImages/Dog_1421.jpg,/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_night/voc_night/JPEGImages/Badger__1622.jpg,0
/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_day/voc_day/JPEGImages/AmurTiger_504.jpg,/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_night/voc_night/JPEGImages/AmurTiger_245.jpg,1
/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_day/voc_day/JPEGImages/AmurTiger_45.jpg,/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_night/voc_night/JPEGImages/Dog_1835.jpg,0
/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_day/voc_day/JPEGImages/AmurTiger_579.jpg,/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_night/voc_night/JPEGImages/AmurTiger_417.jpg,1
/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_day/voc_day/JPEGImages/Y.T.Marten_42.jpg,/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_night/voc_night/JPEGImages/Y.T.Marten__437.jpg,1
/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_day/voc_day/JPEGImages/Hare_514.jpg,/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_night/voc_night/JPEGImages/Hare_53.jpg,1
/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_day/voc_day/JPEGImages/leopard_2306.jpg,/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_night/voc_night/JPEGImages/leopard_3841.jpg,1
/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_day/voc_day/JPEGImages/Dog_1808.jpg,/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_night/voc_night/JPEGImages/Wildboar_2224.jpg,0
/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_day/voc_day/JPEGImages/LeopardCat__200.jpg,/content/drive/MyDrive/vision_benchmark/data/wildlife/voc_night/voc_night/JPEGImages/RedFox_0 (382).jpg,0
