img1,img2,ground_truth,prediction
/content/drive/MyDrive/vision_benchmark/data/data_out/000525/original.jpg,/content/drive/MyDrive/vision_benchmark/data/data_out/000569/disguise_2.jpg,0,"The two people in the images are not the same person. The first image depicts a woman with dark skin and short, dark hair, while the second image shows a man with light skin and short, dark hair. The differences in their facial features, skin tone, and hairstyle are evident, indicating that they are two distinct individuals."
/content/drive/MyDrive/vision_benchmark/data/data_out/000421/original.jpg,/content/drive/MyDrive/vision_benchmark/data/data_out/000421/disguise_3.jpg,1,"The two images appear to be of the same person, with the second image having a black mustache digitally superimposed over the person's mouth."
/content/drive/MyDrive/vision_benchmark/data/data_out/000408/original.jpg,/content/drive/MyDrive/vision_benchmark/data/data_out/000408/disguise_2.jpg,1,"The two images appear to be of the same person. The man in both images is wearing the same hat and shirt, and has the same facial structure and expression. The second image shows the man with additional face paint, which suggests that he is the same person as in the first image, but with a disguise or costume."
/content/drive/MyDrive/vision_benchmark/data/data_out/000280/original.jpg,/content/drive/MyDrive/vision_benchmark/data/data_out/000280/disguise_2.jpg,1,"The two images depict the same person, as evidenced by their identical facial features and hairstyles. The only difference between the two images is the woman's smile and lip color. In the first image, she has a subtle, closed-mouth smile and a natural lip color, while in the second image, she has a wider, toothy smile and red lipstick. The background of both images is also identical, featuring a blue wall with white text. Overall, it is clear that the two images are of the same individual, with the differences being limited to her expression and makeup."
/content/drive/MyDrive/vision_benchmark/data/data_out/000161/original.jpg,/content/drive/MyDrive/vision_benchmark/data/data_out/000079/disguise_2.jpg,0,"The two people in the images do not appear to be the same person. The person in the first image is a woman with long dark hair and blue eyes, while the person in the second image is a bald man with brown eyes. The differences in their facial features, hair, and overall appearance suggest that they are not the same individual. Additionally, the man in the second image is wearing a scarf that covers most of his face, which could be considered a disguise, but it does not make him resemble the woman in the first image."
/content/drive/MyDrive/vision_benchmark/data/data_out/000398/original.jpg,/content/drive/MyDrive/vision_benchmark/data/data_out/000398/disguise_2.jpg,1,"The two individuals in the images appear to be the same person. The facial features, hair color, and style are identical, suggesting that they are likely the same individual. The only difference is a thin red line across the forehead in the second image, which appears to be a digital annotation or editing. Therefore, it is not a case of one person being in disguise, but rather the same person with a digital alteration in the second image."
/content/drive/MyDrive/vision_benchmark/data/data_out/000389/original.jpg,/content/drive/MyDrive/vision_benchmark/data/data_out/000270/disguise_1.jpg,0,"The two individuals depicted in the images are not the same person. The first image is of a man, while the second image is of a woman. They have different facial features, hair styles, and clothing, indicating that they are two distinct individuals."
/content/drive/MyDrive/vision_benchmark/data/data_out/000148/original.jpg,/content/drive/MyDrive/vision_benchmark/data/data_out/000134/disguise_2.jpg,0,"The two individuals in the images are not the same person. The woman in the first image has fair skin and dark hair, while the man in the second image has dark skin and short black hair. The difference in their facial features, skin tone, and hairstyle indicates that they are distinct individuals."
/content/drive/MyDrive/vision_benchmark/data/data_out/000551/original.jpg,/content/drive/MyDrive/vision_benchmark/data/data_out/000551/disguise_2.jpg,1,"The two images depict the same person, as evidenced by the identical facial features, hair color, and style. The image on the right has been digitally altered to include a mustache, which is not present in the original image on the left."
/content/drive/MyDrive/vision_benchmark/data/data_out/000574/original.jpg,/content/drive/MyDrive/vision_benchmark/data/data_out/000232/disguise_3.jpg,0,"The two women in the images appear to be the same person. They share similar facial features, including their nose, eyes, and smile. Additionally, they are both wearing large, dangling earrings that are nearly identical in design. The hairstyles are also similar, with both women having long, dark hair. While the backgrounds and lighting differ between the two images, the overall likeness suggests that they are the same individual."
