img1,img2,ground_truth,prediction
/content/drive/MyDrive/vision_benchmark/data/data_out/000525/original.jpg,/content/drive/MyDrive/vision_benchmark/data/data_out/000569/disguise_2.jpg,0,"These two individuals do not appear to be the same person. They have distinctly different facial features, skin tones, and hairstyles. There is no indication that one is in disguise as the other."
/content/drive/MyDrive/vision_benchmark/data/data_out/000421/original.jpg,/content/drive/MyDrive/vision_benchmark/data/data_out/000421/disguise_3.jpg,1,The two images show the same person. The only difference between the two pictures is that the second image has been edited to include a fake mustache on the person's face. This is not a disguise but rather a playful edit.
/content/drive/MyDrive/vision_benchmark/data/data_out/000408/original.jpg,/content/drive/MyDrive/vision_benchmark/data/data_out/000408/disguise_2.jpg,1,"The two images show the same person. In the second image, the person is wearing clown makeup, which includes white face paint, exaggerated red lips, and a black nose. The hat and pose are identical in both images, indicating that it is the same individual."
/content/drive/MyDrive/vision_benchmark/data/data_out/000280/original.jpg,/content/drive/MyDrive/vision_benchmark/data/data_out/000280/disguise_2.jpg,1,"The two images appear to be of the same person. The facial features, hairstyle, and earrings are consistent between the two photos. The only noticeable difference is the expression; the second image shows the person smiling more broadly. There is no indication that one of the individuals is in disguise."
/content/drive/MyDrive/vision_benchmark/data/data_out/000161/original.jpg,/content/drive/MyDrive/vision_benchmark/data/data_out/000079/disguise_2.jpg,0,"These two individuals do not appear to be the same person. The first image shows a person with long hair and a clear view of their face, while the second image shows a person with a shaved head and most of their face covered by a scarf. The facial features that are visible in both images do not match. There is no indication that one is in disguise as the other."
/content/drive/MyDrive/vision_benchmark/data/data_out/000398/original.jpg,/content/drive/MyDrive/vision_benchmark/data/data_out/000398/disguise_2.jpg,1,"The two images appear to be of the same person. There are no significant differences between them that would suggest one is in disguise. The lighting and background seem consistent, and the facial features match closely."
/content/drive/MyDrive/vision_benchmark/data/data_out/000389/original.jpg,/content/drive/MyDrive/vision_benchmark/data/data_out/000270/disguise_1.jpg,0,"These two individuals do not appear to be the same person. The first image shows a man with short hair and a serious expression, while the second image shows a woman with long hair and a smile. There is no indication that one is in disguise as the other."
/content/drive/MyDrive/vision_benchmark/data/data_out/000148/original.jpg,/content/drive/MyDrive/vision_benchmark/data/data_out/000134/disguise_2.jpg,0,"The two individuals in the images do not appear to be the same person. The first image shows a woman with dark hair and earrings, while the second image shows a man with short hair covering his face with a scarf. There is no indication that one is in disguise as the other."
/content/drive/MyDrive/vision_benchmark/data/data_out/000551/original.jpg,/content/drive/MyDrive/vision_benchmark/data/data_out/000551/disguise_2.jpg,1,"The two images appear to be of the same person. The second image has been edited to include a fake mustache and an exaggerated facial expression, which gives the impression that the person might be in disguise. However, the underlying features such as the eyes, hair, and overall face shape remain consistent between the two images."
/content/drive/MyDrive/vision_benchmark/data/data_out/000574/original.jpg,/content/drive/MyDrive/vision_benchmark/data/data_out/000232/disguise_3.jpg,0,"The two individuals in the images appear to be the same person. They share similar facial features such as eye shape, nose structure, and smile. The differences in hairstyle and lighting do not significantly alter their overall appearance, suggesting that they are indeed the same person. There is no indication of one being in disguise."
/content/drive/MyDrive/vision_benchmark/data/data_out/000345/original.jpg,/content/drive/MyDrive/vision_benchmark/data/data_out/000345/disguise_3.jpg,1,"The two images show the same person. The second image has been edited to include a cartoonish mustache over the person's mouth, which gives the appearance of a disguise but does not change the identity of the individual."
/content/drive/MyDrive/vision_benchmark/data/data_out/000216/original.jpg,/content/drive/MyDrive/vision_benchmark/data/data_out/000216/disguise_3.jpg,1,"The two images appear to be of the same person. The facial features, hair style, and overall appearance are consistent between the two photos. There is no indication that one person is in disguise. The slight differences in expression and lighting are typical variations you might see in different photographs of the same individual."
